Bench Press,Chest,Equipment,Lift up and Down,curl,barbellbenchpresschest
Push Up,Chest,Body,Lift up and Down,curl,pushup
Archer Push Up,Chest,Body,Lift up and Down,curl,archerpushup
Band Low Chest Press,Chest,Equipment,Lift up and Down,curl,bandstandinglowchestpress
Barbell Incline Bench Press,Chest,Equipment,Lift up and Down,curl,barbellinclinebenchpress
Band Standing Chest Press,Chest,Equipment,Lift up and Down,curl,bandstandingchestpress
Chest Dip,Chest,Body,Lift up and Down,curl,chestdip
Crunchy Frog on Floor,Chest,Body,Lift up and Down,curl,crunchyfrogonfloor
Dumbbell Concentrated Curl,Arms,Equipment,Lift up and Down,curl,dumbbellbicepcurl
Dumbbell Biceps Curl,Arms,Equipment,Lift up and Down,curl,dumbbellbicepcurl
Dummbell Alternate Biceps Curl,Arms,Equipment,Lift up and Down,curl,dumbbellalternatecurl
Cable High Pullet Overhead Tricep Extension,Arms,Equipment,Lift up and Down,curl,cablehighpulleyextension
Bench Dip on Floor,Arms,Body,Lift up and Down,curl,benchdiponfloor
Brachialis Pull up,Arms,Body,Lift up and Down,curl,brachialispullup
Barbell Standing Shoulders Press,Shoulders,Equipment,Lift up and Down,curl,barbellstandingshoulderpress
Cable One Arm Lateral Raise,Shoulders,Equipment,Lift up and Down,curl,cableonearmlateral
Dumbbell Arnold Press,Shoulders,Equipment,Lift up and Down,curl,dumbbellarnoldpress
Dummbell Front Raise,Shoulders,Equipment,Lift up and Down,curl,dumbbellfrontraise
Handstand Shoulder Press with Wall,Shoulders,Body,Lift up and Down,curl,handstandshoulderpresswithwall
Across Chest Shoulder Stretch,Shoulders,Body,Lift up and Down,curl,acrosschestshoulderstretch
Barbell  Squat,Legs,Equipment,Lift up and Down,curl,barbellsquat
Barbell Deadlift,Legs,Equipment,Lift up and Down,curl,barbelldeadlift
Smith Calf Raise,Legs,Equipment,Lift up and Down,curl,smithcalfraise
Dumbbell Standing Calf Raise,Legs,Equipment,Lift up and Down,curl,dumbbellstandingcalfraise
Bodyweight Standing Calf Raise,Legs,Body,Lift up and Down,curl,bodyweightstandingcalfraise
Bodyweight Bulgarian Split Squat,Legs,Body,Lift up and Down,curl,bulgariansplitsquat
Sit Squat,Legs,Body,Lift up and Down,curl,sitsquat
Side Lunge,Legs,Body,Lift up and Down,curl,sidelunge
Barbell Bent Over Row,Back,Equipment,Lift up and Down,curl,barbellbentoverrowback
Cable Bar Lateral Pulldown,Back,Equipment,Lift up and Down,curl,cablebarlateralpulldown
Cable One Arm Pulldown,Back,Equipment,Lift up and Down,curl,cableonearmpulldown
Cable Rope Seated Row,Back,Equipment,Lift up and Down,curl,cableropeseatedrow
Chin Up,Back,Body,Lift up and Down,curl,chinup
Hyperextension (on bench),Back,Body,Lift up and Down,curl,hyperextensiononbench
Commando Pull Up,Back,Body,Lift up and Down,curl,commandopullup
Shoulder Grip Pull Up,Back,Body,Lift up and Down,curl,shouldergrippullup
Kettlebell Russian Twist,Abs,Equipment,Lift up and Down,curl,kettlebellrussiantwist
Crunch with Medicine Ball,Abs,Equipment,Lift up and Down,curl,crunchmedicineball
Cable Kneeling Crunch,Abs,Equipment,Lift up and Down,curl,cablekneelingcrunch
Barbell Rollout,Abs,Equipment,Lift up and Down,curl,barbellrollout
Sit Up,Abs,Body,Lift up and Down,curl,situpwaist
Bodyweight Windmill,Abs,Body,Lift up and Down,curl,bodyweightwindmill
Chin to Chest Stretch,Abs,Body,Lift up and Down,curl,chincheststretch
Lying Floor Leg Raise,Abs,Body,Lift up and Down,curl,lyingfloorlegraise
